time,deviceId,value
1469128476,26,63
1469128510,1,104
1469128532,5,109
1469128532,6,36
1469128548,29,0
1469128551,32,0
1469128553,8,0
1469128586,21,99
1469128589,4,55
1469128600,1,89
1469128601,2,59
1469128607,4,54
1469128610,4,55
1469128622,5,3
1469128628,4,57
1469128636,4,55
1469128642,23,0
1469128645,4,53
1469128661,4,52
1469128662,26,0
1469128690,1,1
1469128692,21,0
1469128697,4,1
1469128780,1,2
1469128781,2,58
1469128782,21,99
1469128784,4,52
1469128785,35,0
1469128785,37,0
1469128803,5,4
1469128803,6,35
1469128831,21,0
1469128836,4,0
1469128870,1,3
1469128892,5,2
1469128960,1,2
1469128961,2,59
1469128982,5,4
1469129050,1,3
1469129072,5,3
1469129140,1,2
1469129141,2,60
1469129162,5,2
1469129230,1,3
1469129252,5,4
1469129320,1,2
1469129342,5,3
1469129522,5,5
1469129612,5,3
1469129702,5,2
1469129771,1,1
1469129792,5,4
1469129861,1,4
1469129861,2,61
1469129882,5,5
1469129951,1,3
1469129972,5,4
1469130041,1,2
1469130062,5,3
1469130062,6,34
1469130221,1,3
1469130242,5,4
1469130311,2,62
1469130331,38,4
1469130332,5,5
1469130333,38,95
1469130336,8,29
1469130346,38,99
1469130401,1,2
1469130414,26,63
1469130425,5,3
1469130425,6,35
1469130491,1,83
1469130513,6,34
1469130560,17,85
1469130560,39,85
1469130581,1,82
1469130582,2,61
1469130601,12,15
1469130671,1,80
1469130692,5,4
1469130761,1,77
1469130762,2,60
1469130782,6,35
1469130852,1,117
1469130905,26,0
1469130942,1,2
1469130962,5,3
1469131032,1,3
1469131040,38,94
1469131043,38,11
1469131052,5,2
1469131060,38,0
1469131116,8,0
1469131142,5,4
1469131232,5,2
1469131302,1,2
1469131322,5,5
1469131392,1,3
1469131412,5,4
1469131572,1,2
1469131592,5,5
1469131662,1,3
1469131682,5,4
1469131752,1,2
1469131801,12,0
1469131842,2,61
1469131862,5,5
1469131932,1,3
1469131952,5,4
1469132022,1,2
1469132112,1,3
1469132202,1,2
1469132202,2,62
1469132292,1,3
1469132312,5,3
1469132382,1,2
1469132562,1,3
1469132652,1,2
1469132672,5,2
1469132742,2,63
1469132763,5,3
1469132832,1,3
1469132922,1,2
1469132942,5,4
1469133032,5,2
1469133102,1,3
1469133122,5,4
1469133212,5,3
1469133282,1,2
1469133372,2,64
1469133482,5,4
1469133483,6,34
1469133642,2,65
1469133662,5,3
1469133732,1,3
1469133732,2,64
1469133822,1,2
1469133822,2,65
1469133912,1,1
1469134002,1,3
1469134092,1,4
1469134092,2,66
1469134182,1,3
1469134202,5,2
1469134272,1,2
1469134292,5,3
1469134362,1,3
1469134382,5,2
1469134452,2,67
1469134472,5,5
1469134542,2,66
1469134562,5,3
1469134632,1,2
1469134632,2,67
1469134816,1,3
1469134902,1,2
1469134922,5,4
1469135082,1,3
1469135172,1,2
1469135282,5,2
1469135352,1,3
1469135372,5,4
1469135442,2,68
1469135462,5,2
1469135552,5,3
1469135622,2,67
1469135643,5,4
1469135712,1,2
1469135732,5,3
1469135823,5,4
1469135892,1,3
1469135912,5,5
1469135982,1,2
1469136003,5,4
1469136072,1,3
1469136162,2,68
1469136182,5,2
1469136252,1,2
1469136252,2,67
1469136272,5,5
1469136342,1,3
1469136363,5,4
1469136453,5,3
1469136522,1,1
1469136612,1,3
1469136612,2,68
1469136633,5,4
1469136702,1,4
1469136723,5,3
1469136792,1,3
1469136792,2,67
1469136813,5,4
1469136972,2,68
1469136993,5,3
1469137083,5,4
1469137152,2,67
1469137242,1,2
1469137263,5,5
1469137332,2,68
1469137353,5,3
1469137422,1,3
1469137423,2,67
1469137513,2,68
1469137602,1,2
1469137602,2,67
1469137623,5,4
1469137692,2,68
1469137782,1,3
1469137783,2,67
1469137803,5,3
1469137872,1,2
1469137962,2,68
1469137983,5,5
1469138052,2,67
1469138073,5,4
1469138142,1,4
1469138143,2,68
1469138163,5,5
1469138232,1,3
1469138253,5,4
1469138433,5,3
1469138502,1,2
1469138592,1,3
1469138613,5,4
1469138682,1,2
1469138772,1,3
1469138793,5,3
1469138862,1,5
1469138952,1,2
1469139042,2,69
1469139063,5,4
1469139132,1,3
1469139153,5,3
1469139222,1,2
1469139223,2,68
1469139402,1,3
1469139403,2,69
1469139423,5,4
1469139492,1,4
1469139493,2,68
1469139513,5,3
1469139583,1,3
1469139672,1,1
1469139673,2,69
1469139762,1,2
1469139783,5,4
1469139852,2,68
1469139942,1,4
1469139963,5,3
1469140032,1,3
1469140033,2,69
1469140053,5,4
1469140122,1,1
1469140123,2,68
1469140143,5,5
1469140213,1,2
1469140302,1,3
1469140323,5,4
1469140392,2,69
1469140413,5,3
1469140482,1,2
1469140503,5,4
1469140593,5,3
1469140662,1,1
1469140663,2,68
1469140683,5,4
1469140752,1,2
1469140843,1,1
1469140843,2,69
1469140863,5,3
1469140932,1,3
1469140933,2,68
1469140953,5,4
1469141022,1,2
1469141112,1,3
1469141113,2,69
1469141203,2,68
1469141293,2,69
1469141313,5,3
1469141382,1,2
1469141383,2,68
1469141472,1,3
1469141473,2,69
1469141493,5,4
1469141563,2,68
1469141583,5,3
1469141673,5,4
1469141742,1,2
1469141763,5,3
1469141853,5,4
1469141943,5,3
1469142017,2,69
1469142103,1,1
1469142103,2,68
1469142193,1,2
1469142213,5,5
1469142283,1,3
1469142283,2,69
1469142303,5,4
1469142303,6,33
1469142373,2,68
1469142483,5,3
1469142553,1,2
1469142573,5,2
1469142663,5,4
1469142733,1,3
1469142753,5,3
1469142823,1,2
1469142843,5,2
1469142933,5,3
1469143003,1,3
1469143203,5,5
1469143242,14,25
1469143273,2,67
1469143293,5,3
1469143363,1,2
1469143383,5,5
1469143453,1,3
1469143453,2,68
1469143473,5,3
1469143542,14,26
1469143543,1,2
1469143563,5,4
1469143633,2,67
1469143653,5,3
1469143723,1,3
1469143723,2,68
1469143743,5,4
1469143813,2,67
1469143834,5,5
1469143923,5,4
1469143993,1,1
1469144083,1,3
1469144103,5,3
1469144173,1,2
1469144263,1,3
1469144374,5,5
1469144443,1,4
1469144463,5,4
1469144533,1,2
1469144623,1,3
1469144733,5,3
1469144803,1,2
1469144893,1,3
1469144913,5,4
1469144983,1,2
1469145003,5,2
1469145040,14,25
1469145093,5,4
1469145163,1,3
1469145183,5,3
1469145253,1,4
1469145274,5,5
1469145343,1,3
1469145363,5,4
1469145454,5,3
1469145523,1,2
1469145634,5,5
1469145703,1,3
1469145723,5,3
1469145793,1,2
1469145903,5,4
1469145939,14,26
1469145973,1,3
1469145994,5,3
1469146083,5,2
1469146153,1,1
1469146174,5,3
1469146243,1,2
1469146263,5,4
1469146333,1,3
1469146353,5,3
1469146423,1,1
1469146443,5,4
1469146513,1,3
1469146783,1,2
1469146803,5,3
1469146873,1,5
1469146893,5,5
1469146963,1,3
1469146983,5,4
1469147053,1,4
1469147137,14,25
1469147143,1,2
1469147163,5,3
1469147343,5,4
1469147434,5,3
1469147503,1,3
1469147614,5,4
1469147704,5,3
1469147794,5,4
1469147884,5,3
1469147953,1,2
1469147974,5,4
1469148036,14,26
1469148064,5,3
1469148154,5,2
1469148223,1,3
1469148244,5,3
1469148250,40,25
1469148313,1,2
1469148334,5,4
1469148403,1,4
1469148493,1,3
1469148493,2,66
1469148583,1,2
1469148604,5,3
1469148673,1,3
1469148694,5,5
1469148784,5,3
1469148853,1,2
1469148874,5,5
1469148964,5,4
1469149054,5,2
1469149123,1,1
1469149124,2,67
1469149144,5,3
1469149217,1,3
1469149217,2,66
1469149234,5,4
1469149234,14,25
1469149303,1,4
1469149324,5,2
1469149393,1,3
1469149414,5,3
1469149483,1,2
1469149484,2,67
1469149573,2,66
1469149594,5,4
1469149753,1,3
1469149843,2,67
1469149933,2,66
1469150023,1,2
1469150044,5,3
1469150113,1,3
1469150134,5,2
1469150134,14,26
1469150203,1,2
1469150224,5,4
1469150293,1,3
1469150296,8,1
1469150404,5,3
1469150584,5,4
1469150653,1,2
1469150764,5,2
1469150833,1,4
1469150854,5,3
1469150923,1,3
1469150944,5,4
1469151034,14,25
1469151124,5,5
1469151195,8,2
1469151214,5,3
1469151283,1,2
1469151394,5,4
1469151463,1,3
1469151484,5,5
1469151574,5,3
1469151795,8,3
1469151913,1,2
1469151932,14,26
1469151934,5,5
1469152024,5,3
1469152094,8,4
1469152183,1,5
1469152273,1,2
1469152294,5,4
1469152394,8,5
1469152564,5,5
1469152654,5,3
1469152694,8,6
1469152724,1,3
1469152816,1,2
1469152904,1,3
1469152924,5,4
1469152994,1,2
1469152994,8,8
1469153084,1,3
1469153132,14,25
1469153174,1,2
1469153194,5,3
1469153284,5,4
1469153294,8,9
1469153354,1,3
1469153374,5,3
1469153534,1,2
1469153554,5,5
1469153593,8,11
1469153624,1,3
1469153644,5,3
1469153804,1,2
1469153874,4,1
1469153893,8,13
1469153894,1,3
1469154004,5,4
1469154074,1,4
1469154164,1,2
1469154184,5,3
1469154193,8,16
1469154254,1,4
1469154331,14,26
1469154344,1,2
1469154344,2,65
1469154364,5,2
1469154434,2,66
1469154454,5,3
1469154493,8,22
1469154524,1,3
1469154524,2,65
1469154614,2,66
1469154634,5,4
1469154704,1,1
1469154724,5,3
1469154761,8,38
1469154775,4,2
1469154794,1,3
1469154794,2,65
1469154815,8,46
1469154884,2,66
1469154884,3,24
1469154894,8,51
1469154905,8,50
1469154931,14,25
1469154974,1,2
1469155084,5,4
1469155154,1,3
