time,deviceId,value
1469118158,1,2
1469118158,2,54
1469118159,3,24.8
1469118180,5,3
1469118180,6,34
1469118181,7,25.1
1469118192,4,12
1469118219,8,13
1469118270,5,4
1469118320,13,25.2
1469118370,14,25.9
1469118493,4,11
1469118517,1,3
1469118519,8,12
1469118540,5,5
1469118600,15,0
1469118601,16,0.02
1469118621,13,25.3
1469118635,5,4
1469118670,14,26
1469118697,1,2
1469118788,1,3
1469118793,4,10
1469118819,8,11
1469118877,1,2
1469118900,5,3
1469118922,13,25.2
1469118967,1,3
1469118970,14,25.9
1469118990,7,25
1469119047,4,64
1469119057,1,2
1469119069,4,63
1469119093,4,61
1469119097,4,10
1469119147,1,3
1469119170,5,2
1469119170,7,25.1
1469119200,9,0
1469119201,10,0.07
1469119201,11,0
1469119202,12,0
1469119222,13,25.3
1469119238,1,2
1469119260,5,3
1469119260,7,25
1469119270,14,25.8
1469119327,1,3
1469119397,4,9
1469119418,1,2
1469119419,8,10
1469119440,5,5
1469119440,7,25.1
1469119507,17,88
1469119509,18,100
1469119510,1,4
1469119510,2,54
1469119511,3,24.8
1469119522,13,25.3
1469119530,19,100
1469119530,5,4
1469119531,6,34
1469119531,7,25
1469119569,14,25.7
1469119597,1,3
1469119697,4,9
1469119710,5,5
1469119710,7,24.9
1469119718,8,10
1469119800,7,25
1469119801,9,0
1469119802,15,0
1469119802,16,0.02
1469119867,1,2
1469119869,14,25.6
1469119890,5,4
1469119890,7,24.9
1469119958,1,4
1469119980,5,3
1469119998,4,8
1469120018,8,9
1469120047,1,3
1469120062,20,on
1469120063,21,99
1469120065,4,62
1469120066,22,on
1469120067,23,99
1469120068,4,63
1469120069,24,on
1469120070,25,on
1469120071,5,5
1469120072,7,25
1469120072,4,64
1469120072,26,63
1469120083,27,on
1469120084,24,off
1469120085,25,off
1469120086,20,off
1469120087,20,on
1469120094,28,on
1469120095,4,63
1469120096,29,99
1469120098,8,125
1469120099,4,64
1469120101,4,63
1469120104,22,off
1469120119,20,off
1469120136,4,62
1469120138,1,133
1469120139,3,24.6
1469120140,22,on
1469120142,20,on
1469120145,30,on
1469120145,31,on
1469120146,4,63
1469120147,32,78
1469120148,4,62
1469120161,28,off
1469120162,20,off
1469120163,5,118
1469120164,7,24.9
1469120164,22,off
1469120165,26,0
1469120167,4,61
1469120169,4,62
1469120169,14,25.8
1469120173,4,61
1469120174,30,off
1469120174,31,off
1469120192,21,0
1469120193,4,59
1469120197,4,9
1469120198,30,on
1469120199,31,on
1469120213,30,off
